Protein.ID Gene.Name name ID
377 ENSMUSP00000101529 Cars Cars ENSMUSP00000101529
378 ENSMUSP00000120299 Cask Cask ENSMUSP00000120299
379 ENSMUSP00000147767 Casp3 Casp3 ENSMUSP00000147767
380 ENSMUSP00000127375 Casp8 Casp8 ENSMUSP00000127375
381 ENSMUSP00000065275 Cast Cast ENSMUSP00000065275
382 ENSMUSP00000028610 Cat Cat ENSMUSP00000028610
383 ENSMUSP00000111116 Cav1 Cav1 ENSMUSP00000111116
384 ENSMUSP00000058321 Cavin1 Cavin1 ENSMUSP00000058321
385 ENSMUSP00000055694 Cavin2 Cavin2 ENSMUSP00000055694
386 ENSMUSP00000049394 Cbr1 Cbr1 ENSMUSP00000049394
387 ENSMUSP00000047712 Cbr3 Cbr3 ENSMUSP00000047712
388 ENSMUSP00000034058 Cbr4 Cbr4 ENSMUSP00000034058
389 ENSMUSP00000113209 Cbs Cbs ENSMUSP00000113209
390 ENSMUSP00000091475 Cbx1 Cbx1 ENSMUSP00000091475
391 ENSMUSP00000110091 Cbx3 Cbx3 ENSMUSP00000110091
392 ENSMUSP00000113158 Cbx5 Cbx5 ENSMUSP00000113158
393 ENSMUSP00000151895 Ccar1 Ccar1 ENSMUSP00000151895
394 ENSMUSP00000036924 Ccar2 Ccar2 ENSMUSP00000036924
395 ENSMUSP00000007865 Ccdc124 Ccdc124 ENSMUSP00000007865
396 ENSMUSP00000022614 Ccdc25 Ccdc25 ENSMUSP00000022614
397 ENSMUSP00000002043 Ccdc47 Ccdc47 ENSMUSP00000002043
398 ENSMUSP00000097520 Ccdc58 Ccdc58 ENSMUSP00000097520
399 ENSMUSP00000123374 Ccdc6 Ccdc6 ENSMUSP00000123374
400 ENSMUSP00000082090 Ccdc90b Ccdc90b ENSMUSP00000082090
401 ENSMUSP00000108240 Ccdc93 Ccdc93 ENSMUSP00000108240
402 ENSMUSP00000158377 Ccs Ccs ENSMUSP00000158377
403 ENSMUSP00000036288 Cct2 Cct2 ENSMUSP00000036288
404 ENSMUSP00000001452 Cct3 Cct3 ENSMUSP00000001452
405 ENSMUSP00000020562 Cct4 Cct4 ENSMUSP00000020562
406 ENSMUSP00000133523 Cct4 Cct4.1 ENSMUSP00000133523
407 ENSMUSP00000022842 Cct5 Cct5 ENSMUSP00000022842
408 ENSMUSP00000158738 Cct6a Cct6a ENSMUSP00000158738
409 ENSMUSP00000021040 Cct6b Cct6b ENSMUSP00000021040
410 ENSMUSP00000032078 Cct7 Cct7 ENSMUSP00000032078
411 ENSMUSP00000026704 Cct8 Cct8 ENSMUSP00000026704
412 ENSMUSP00000147978 Cd151 Cd151 ENSMUSP00000147978
413 ENSMUSP00000039583 Cd1d2 Cd1d2 ENSMUSP00000039583
414 ENSMUSP00000156812 Cd2ap Cd2ap ENSMUSP00000156812
415 ENSMUSP00000028356 Cd302 Cd302 ENSMUSP00000028356
416 ENSMUSP00000143061 Cd36 Cd36 ENSMUSP00000143061
417 ENSMUSP00000030964 Cd38 Cd38 ENSMUSP00000030964
418 ENSMUSP00000155699 Cd47 Cd47 ENSMUSP00000155699
419 ENSMUSP00000019615 Cdc37 Cdc37 ENSMUSP00000019615
420 ENSMUSP00000054634 Cdc42 Cdc42 ENSMUSP00000054634
421 ENSMUSP00000042565 Cdc42bpb Cdc42bpb ENSMUSP00000042565
422 ENSMUSP00000024727 Cdc5l Cdc5l ENSMUSP00000024727
423 ENSMUSP00000132112 Cdh1 Cdh1 ENSMUSP00000132112
424 ENSMUSP00000111516 Cdh2 Cdh2 ENSMUSP00000111516
425 ENSMUSP00000099441 Cdk5rap3 Cdk5rap3 ENSMUSP00000099441
426 ENSMUSP00000148441 Cdkn2aip Cdkn2aip ENSMUSP00000148441
427 ENSMUSP00000095534 Cdkn2c Cdkn2c ENSMUSP00000095534
428 ENSMUSP00000157285 Cdo1 Cdo1 ENSMUSP00000157285
429 ENSMUSP00000072101 Cdv3 Cdv3 ENSMUSP00000072101
430 ENSMUSP00000064255 Ceacam2 Ceacam2 ENSMUSP00000064255
431 ENSMUSP00000069850 Cebpb Cebpb ENSMUSP00000069850
432 ENSMUSP00000149376 Celf1 Celf1 ENSMUSP00000149376
433 ENSMUSP00000018653 Cenpv Cenpv ENSMUSP00000018653
434 ENSMUSP00000122460 Cept1 Cept1 ENSMUSP00000122460
435 ENSMUSP00000015858 Cers2 Cers2 ENSMUSP00000015858
436 ENSMUSP00000105210 Ces1b Ces1b ENSMUSP00000105210
437 ENSMUSP00000034189 Ces1c Ces1c ENSMUSP00000034189
438 ENSMUSP00000034172 Ces1d Ces1d ENSMUSP00000034172
439 ENSMUSP00000135636 Ces1e Ces1e ENSMUSP00000135636
440 ENSMUSP00000034178 Ces1f Ces1f ENSMUSP00000034178
441 ENSMUSP00000037555 Ces1g Ces1g ENSMUSP00000037555
442 ENSMUSP00000034346 Ces2a Ces2a ENSMUSP00000034346
443 ENSMUSP00000058567 Ces2c Ces2c ENSMUSP00000058567
444 ENSMUSP00000105037 Ces2e Ces2e ENSMUSP00000105037
445 ENSMUSP00000049315 Ces2g Ces2g ENSMUSP00000049315
446 ENSMUSP00000090910 Ces3a Ces3a ENSMUSP00000090910
447 ENSMUSP00000090909 Ces3b Ces3b ENSMUSP00000090909
448 ENSMUSP00000123626 Cfap74 Cfap74 ENSMUSP00000123626
449 ENSMUSP00000119977 Cfb Cfb ENSMUSP00000119977
450 ENSMUSP00000141634 Cfh Cfh ENSMUSP00000141634
451 ENSMUSP00000077074 Cfi Cfi ENSMUSP00000077074
452 ENSMUSP00000147514 Cfl1 Cfl1 ENSMUSP00000147514
453 ENSMUSP00000077262 Cfl2 Cfl2 ENSMUSP00000077262
454 ENSMUSP00000102894 Cgn Cgn ENSMUSP00000102894
455 ENSMUSP00000112479 Cgnl1 Cgnl1 ENSMUSP00000112479
456 ENSMUSP00000091835 Chchd2 Chchd2 ENSMUSP00000091835
457 ENSMUSP00000070149 Chchd3 Chchd3 ENSMUSP00000070149
458 ENSMUSP00000041380 Chchd4 Chchd4 ENSMUSP00000041380
459 ENSMUSP00000108011 Chd4 Chd4 ENSMUSP00000108011
460 ENSMUSP00000112916 Chdh Chdh ENSMUSP00000112916
461 ENSMUSP00000147285 Chmp1b Chmp1b ENSMUSP00000147285
462 ENSMUSP00000148218 Chmp2a Chmp2a ENSMUSP00000148218
463 ENSMUSP00000156381 Chmp2b Chmp2b ENSMUSP00000156381
464 ENSMUSP00000036206 Chmp4b Chmp4b ENSMUSP00000036206
465 ENSMUSP00000030128 Chmp5 Chmp5 ENSMUSP00000030128
466 ENSMUSP00000150569 Chordc1 Chordc1 ENSMUSP00000150569
467 ENSMUSP00000125451 Ciapin1 Ciapin1 ENSMUSP00000125451
468 ENSMUSP00000121214 Cirbp Cirbp ENSMUSP00000121214
469 ENSMUSP00000043559 Cisd1 Cisd1 ENSMUSP00000043559
470 ENSMUSP00000029815 Cisd2 Cisd2 ENSMUSP00000029815
471 ENSMUSP00000103210 Cisd3 Cisd3 ENSMUSP00000103210
472 ENSMUSP00000146972 Ckm Ckm ENSMUSP00000146972
473 ENSMUSP00000102220 Clcc1 Clcc1 ENSMUSP00000102220
474 ENSMUSP00000091799 Cldn3 Cldn3 ENSMUSP00000091799
475 ENSMUSP00000014686 Clec4f Clec4f ENSMUSP00000014686
476 ENSMUSP00000007257 Clic1 Clic1 ENSMUSP00000007257
477 ENSMUSP00000041453 Clic4 Clic4 ENSMUSP00000041453
478 ENSMUSP00000104883 Clint1 Clint1 ENSMUSP00000104883
479 ENSMUSP00000107192 Clip1 Clip1 ENSMUSP00000107192
480 ENSMUSP00000152228 Clmn Clmn ENSMUSP00000152228
481 ENSMUSP00000001884 Clpb Clpb ENSMUSP00000001884
482 ENSMUSP00000002735 Clpp Clpp ENSMUSP00000002735
483 ENSMUSP00000051293 Clptm1 Clptm1 ENSMUSP00000051293
484 ENSMUSP00000109455 Clpx Clpx ENSMUSP00000109455
485 ENSMUSP00000103477 Clta Clta ENSMUSP00000103477
486 ENSMUSP00000089198 Cltb Cltb ENSMUSP00000089198
487 ENSMUSP00000099475 Cltc Cltc ENSMUSP00000099475
488 ENSMUSP00000022616 Clu Clu ENSMUSP00000022616
489 ENSMUSP00000090593 Cluh Cluh ENSMUSP00000090593
490 ENSMUSP00000026625 Clybl Clybl ENSMUSP00000026625
491 ENSMUSP00000153652 Cmah Cmah ENSMUSP00000153652
492 ENSMUSP00000032419 Cmas Cmas ENSMUSP00000032419
493 ENSMUSP00000070314 Cmbl Cmbl ENSMUSP00000070314
494 ENSMUSP00000030491 Cmpk1 Cmpk1 ENSMUSP00000030491
495 ENSMUSP00000035007 Cmtm6 Cmtm6 ENSMUSP00000035007
496 ENSMUSP00000050408 Cmya5 Cmya5 ENSMUSP00000050408
497 ENSMUSP00000109249 Cnbp Cnbp ENSMUSP00000109249
498 ENSMUSP00000128696 Cndp2 Cndp2 ENSMUSP00000128696
499 ENSMUSP00000029773 Cnn3 Cnn3 ENSMUSP00000029773
500 ENSMUSP00000151918 Cnpy2 Cnpy2 ENSMUSP00000151918
501 ENSMUSP00000130367 Coa3 Coa3 ENSMUSP00000130367
502 ENSMUSP00000114906 Coa7 Coa7 ENSMUSP00000114906
503 ENSMUSP00000102929 Coasy Coasy ENSMUSP00000102929
504 ENSMUSP00000108049 Cobll1 Cobll1 ENSMUSP00000108049
505 ENSMUSP00000115065 Cobll1 Cobll1.1 ENSMUSP00000115065
506 ENSMUSP00000105850 Col14a1 Col14a1 ENSMUSP00000105850
507 ENSMUSP00000001547 Col1a1 Col1a1 ENSMUSP00000001547
508 ENSMUSP00000001147 Col6a1 Col6a1 ENSMUSP00000001147
509 ENSMUSP00000001181 Col6a2 Col6a2 ENSMUSP00000001181
510 ENSMUSP00000140858 Col6a3 Col6a3 ENSMUSP00000140858
511 ENSMUSP00000141683 Comt Comt ENSMUSP00000141683
512 ENSMUSP00000118179 Copa Copa ENSMUSP00000118179
513 ENSMUSP00000033012 Copb1 Copb1 ENSMUSP00000033012
514 ENSMUSP00000035033 Copb2 Copb2 ENSMUSP00000035033
515 ENSMUSP00000071078 Cope Cope ENSMUSP00000071078
516 ENSMUSP00000109237 Copg1 Copg1 ENSMUSP00000109237
517 ENSMUSP00000038368 Copg2 Copg2 ENSMUSP00000038368
518 ENSMUSP00000106089 Cops2 Cops2 ENSMUSP00000106089
519 ENSMUSP00000019517 Cops3 Cops3 ENSMUSP00000019517
520 ENSMUSP00000048416 Cops4 Cops4 ENSMUSP00000048416
521 ENSMUSP00000027050 Cops5 Cops5 ENSMUSP00000027050
522 ENSMUSP00000106576 Cops6 Cops6 ENSMUSP00000106576
523 ENSMUSP00000032220 Cops7a Cops7a ENSMUSP00000032220
524 ENSMUSP00000095247 Cops9 Cops9 ENSMUSP00000095247
525 ENSMUSP00000154922 Copz1 Copz1 ENSMUSP00000154922
526 ENSMUSP00000018816 Copz2 Copz2 ENSMUSP00000018816
527 ENSMUSP00000029909 Coq3 Coq3 ENSMUSP00000029909
528 ENSMUSP00000048001 Coq5 Coq5 ENSMUSP00000048001
529 ENSMUSP00000105905 Coq6 Coq6 ENSMUSP00000105905
530 ENSMUSP00000032887 Coq7 Coq7 ENSMUSP00000032887
531 ENSMUSP00000128290 Coq8a Coq8a ENSMUSP00000128290
532 ENSMUSP00000034234 Coq9 Coq9 ENSMUSP00000034234
533 ENSMUSP00000101972 Coro1a Coro1a ENSMUSP00000101972
534 ENSMUSP00000137780 Coro1b Coro1b ENSMUSP00000137780
535 ENSMUSP00000004646 Coro1c Coro1c ENSMUSP00000004646
536 ENSMUSP00000126329 Cotl1 Cotl1 ENSMUSP00000126329
537 ENSMUSP00000041820 Cox15 Cox15 ENSMUSP00000041820
538 ENSMUSP00000113430 Cox17 Cox17 ENSMUSP00000113430
539 ENSMUSP00000150663 Cox20 Cox20 ENSMUSP00000150663
540 ENSMUSP00000138019 Cox4i1 Cox4i1 ENSMUSP00000138019
541 ENSMUSP00000000090 Cox5a Cox5a ENSMUSP00000000090
542 ENSMUSP00000141554 Cox5b Cox5b ENSMUSP00000141554
543 ENSMUSP00000047661 Cox6a1 Cox6a1 ENSMUSP00000047661
544 ENSMUSP00000075150 Cox6b1 Cox6b1 ENSMUSP00000075150
545 ENSMUSP00000123609 Cox6c Cox6c ENSMUSP00000123609
546 ENSMUSP00000034881 Cox7a2 Cox7a2 ENSMUSP00000034881
547 ENSMUSP00000103961 Cp Cp ENSMUSP00000103961
548 ENSMUSP00000029885 Cpne3 Cpne3 ENSMUSP00000029885
549 ENSMUSP00000055455 Cpox Cpox ENSMUSP00000055455
550 ENSMUSP00000119989 Cpped1 Cpped1 ENSMUSP00000119989
551 ENSMUSP00000154400 Cpq Cpq ENSMUSP00000154400
552 ENSMUSP00000027144 Cps1 Cps1 ENSMUSP00000027144
553 ENSMUSP00000135136 Cpsf6 Cpsf6 ENSMUSP00000135136
554 ENSMUSP00000025835 Cpt1a Cpt1a ENSMUSP00000025835
555 ENSMUSP00000030345 Cpt2 Cpt2 ENSMUSP00000030345
556 ENSMUSP00000099918 Crat Crat ENSMUSP00000099918
557 ENSMUSP00000041234 Creg1 Creg1 ENSMUSP00000041234
558 ENSMUSP00000024042 Creld2 Creld2 ENSMUSP00000024042
559 ENSMUSP00000143680 Crip1 Crip1 ENSMUSP00000143680
560 ENSMUSP00000081943 Crip2 Crip2 ENSMUSP00000081943
561 ENSMUSP00000006293 Crkl Crkl ENSMUSP00000006293
562 ENSMUSP00000003720 Crot Crot ENSMUSP00000003720
563 ENSMUSP00000114099 Crybg2 Crybg2 ENSMUSP00000114099
564 ENSMUSP00000022517 Cryl1 Cryl1 ENSMUSP00000022517
565 ENSMUSP00000142105 Cryz Cryz ENSMUSP00000142105
566 ENSMUSP00000044945 Cryzl2 Cryzl2 ENSMUSP00000044945
567 ENSMUSP00000005826 Cs Cs ENSMUSP00000005826
568 ENSMUSP00000023805 Csad Csad ENSMUSP00000023805
569 ENSMUSP00000143050 Csde1 Csde1 ENSMUSP00000143050
570 ENSMUSP00000129983 Cse1l Cse1l ENSMUSP00000129983
571 ENSMUSP00000095169 Csrp1 Csrp1 ENSMUSP00000095169
572 ENSMUSP00000129378 Csrp3 Csrp3 ENSMUSP00000129378
573 ENSMUSP00000005185 Cstb Cstb ENSMUSP00000005185
574 ENSMUSP00000113672 Cth Cth ENSMUSP00000113672
575 ENSMUSP00000049007 Ctnna1 Ctnna1 ENSMUSP00000049007
576 ENSMUSP00000125763 Ctnnb1 Ctnnb1 ENSMUSP00000125763
577 ENSMUSP00000107322 Ctnnd1 Ctnnd1 ENSMUSP00000107322
578 ENSMUSP00000099382 Ctsa Ctsa ENSMUSP00000099382
579 ENSMUSP00000006235 Ctsb Ctsb ENSMUSP00000006235
580 ENSMUSP00000121203 Ctsd Ctsd ENSMUSP00000121203
581 ENSMUSP00000034915 Ctsh Ctsh ENSMUSP00000034915
582 ENSMUSP00000152169 Ctsl Ctsl ENSMUSP00000152169
583 ENSMUSP00000016400 Ctsz Ctsz ENSMUSP00000016400
584 ENSMUSP00000099368 Cttn Cttn ENSMUSP00000099368
585 ENSMUSP00000122702 Cul1 Cul1 ENSMUSP00000122702
586 ENSMUSP00000131891 Cul3 Cul3 ENSMUSP00000131891
587 ENSMUSP00000016680 Cul4a Cul4a ENSMUSP00000016680
588 ENSMUSP00000133144 Cul5 Cul5 ENSMUSP00000133144
589 ENSMUSP00000158255 Cuta Cuta ENSMUSP00000158255
590 ENSMUSP00000149476 Cwc15 Cwc15 ENSMUSP00000149476
591 ENSMUSP00000023572 Cxadr Cxadr ENSMUSP00000023572
592 ENSMUSP00000025549 Cyb5a Cyb5a ENSMUSP00000025549
593 ENSMUSP00000034400 Cyb5b Cyb5b ENSMUSP00000034400
594 ENSMUSP00000124062 Cyb5r3 Cyb5r3 ENSMUSP00000124062
595 ENSMUSP00000023210 Cyc1 Cyc1 ENSMUSP00000023210
596 ENSMUSP00000124523 Cycs Cycs ENSMUSP00000124523
597 ENSMUSP00000134509 Cyfip1 Cyfip1 ENSMUSP00000134509
598 ENSMUSP00000021166 Cygb Cygb ENSMUSP00000021166
599 ENSMUSP00000026012 Cyp17a1 Cyp17a1 ENSMUSP00000026012
600 ENSMUSP00000034860 Cyp1a2 Cyp1a2 ENSMUSP00000034860
601 ENSMUSP00000027356 Cyp27a1 Cyp27a1 ENSMUSP00000027356
602 ENSMUSP00000074990 Cyp2a12 Cyp2a12 ENSMUSP00000074990
603 ENSMUSP00000005685 Cyp2a5 Cyp2a5 ENSMUSP00000005685
604 ENSMUSP00000072264 Cyp2b10 Cyp2b10 ENSMUSP00000072264
605 ENSMUSP00000005669 Cyp2b13 Cyp2b13 ENSMUSP00000005669
606 ENSMUSP00000080846 Cyp2b9 Cyp2b9 ENSMUSP00000080846
607 ENSMUSP00000148377 Cyp2c23 Cyp2c23 ENSMUSP00000148377
608 ENSMUSP00000003137 Cyp2c29 Cyp2c29 ENSMUSP00000003137
609 ENSMUSP00000045362 Cyp2c37 Cyp2c37 ENSMUSP00000045362
610 ENSMUSP00000079065 Cyp2c50 Cyp2c50 ENSMUSP00000079065
611 ENSMUSP00000048284 Cyp2c54 Cyp2c54 ENSMUSP00000048284
612 ENSMUSP00000065796 Cyp2c67 Cyp2c67 ENSMUSP00000065796
613 ENSMUSP00000097071 Cyp2c68 Cyp2c68 ENSMUSP00000097071
614 ENSMUSP00000060584 Cyp2c70 Cyp2c70 ENSMUSP00000060584
615 ENSMUSP00000072555 Cyp2d10 Cyp2d10 ENSMUSP00000072555
616 ENSMUSP00000023083 Cyp2d22 Cyp2d22 ENSMUSP00000023083
617 ENSMUSP00000006094 Cyp2d26 Cyp2d26 ENSMUSP00000006094
618 ENSMUSP00000086530 Cyp2d9 Cyp2d9 ENSMUSP00000086530
619 ENSMUSP00000026552 Cyp2e1 Cyp2e1 ENSMUSP00000026552
620 ENSMUSP00000003100 Cyp2f2 Cyp2f2 ENSMUSP00000003100
621 ENSMUSP00000030299 Cyp2j5 Cyp2j5 ENSMUSP00000030299
622 ENSMUSP00000037665 Cyp3a11 Cyp3a11 ENSMUSP00000037665
623 ENSMUSP00000031741 Cyp3a13 Cyp3a13 ENSMUSP00000031741
624 ENSMUSP00000065585 Cyp3a25 Cyp3a25 ENSMUSP00000065585
625 ENSMUSP00000092486 Cyp4a10 Cyp4a10 ENSMUSP00000092486
626 ENSMUSP00000081370 Cyp4a12a Cyp4a12a ENSMUSP00000081370
627 ENSMUSP00000030487 Cyp4a14 Cyp4a14 ENSMUSP00000030487
628 ENSMUSP00000030486 Cyp4a31 Cyp4a31 ENSMUSP00000030486
629 ENSMUSP00000142279 Cyp4b1 Cyp4b1 ENSMUSP00000142279
630 ENSMUSP00000123282 Cyp4f13 Cyp4f13 ENSMUSP00000123282
631 ENSMUSP00000157036 Cyp4f14 Cyp4f14 ENSMUSP00000157036
632 ENSMUSP00000092966 Cyp4v3 Cyp4v3 ENSMUSP00000092966
633 ENSMUSP00000001507 Cyp51 Cyp51 ENSMUSP00000001507
634 ENSMUSP00000029905 Cyp7a1 Cyp7a1 ENSMUSP00000029905
635 ENSMUSP00000037487 Cyp7b1 Cyp7b1 ENSMUSP00000037487
636 ENSMUSP00000052989 Cyp8b1 Cyp8b1 ENSMUSP00000052989
637 ENSMUSP00000102337 Czib Czib ENSMUSP00000102337
638 ENSMUSP00000142109 Dag1 Dag1 ENSMUSP00000142109
639 ENSMUSP00000047186 Dap Dap ENSMUSP00000047186
640 ENSMUSP00000134422 Dap3 Dap3 ENSMUSP00000134422
641 ENSMUSP00000027602 Dars Dars ENSMUSP00000027602
642 ENSMUSP00000041851 Dars2 Dars2 ENSMUSP00000041851
643 ENSMUSP00000101001 Dazap1 Dazap1 ENSMUSP00000101001
644 ENSMUSP00000027634 Dbi Dbi ENSMUSP00000027634
645 ENSMUSP00000105471 Dbnl Dbnl ENSMUSP00000105471
646 ENSMUSP00000000349 Dbt Dbt ENSMUSP00000000349
647 ENSMUSP00000141751 Dcaf8 Dcaf8 ENSMUSP00000141751
648 ENSMUSP00000131431 Dcn Dcn ENSMUSP00000131431
649 ENSMUSP00000113284 Dcps Dcps ENSMUSP00000113284
650 ENSMUSP00000109540 Dctn1 Dctn1 ENSMUSP00000109540
651 ENSMUSP00000026479 Dctn2 Dctn2 ENSMUSP00000026479
652 ENSMUSP00000142690 Dcun1d1 Dcun1d1 ENSMUSP00000142690
653 ENSMUSP00000026144 Dcxr Dcxr ENSMUSP00000026144
654 ENSMUSP00000112747 Ddah1 Ddah1 ENSMUSP00000112747
655 ENSMUSP00000025649 Ddb1 Ddb1 ENSMUSP00000025649
656 ENSMUSP00000136467 Ddc Ddc ENSMUSP00000136467
657 ENSMUSP00000099542 Ddi2 Ddi2 ENSMUSP00000099542
658 ENSMUSP00000030538 Ddost Ddost ENSMUSP00000030538
659 ENSMUSP00000086988 Ddrgk1 Ddrgk1 ENSMUSP00000086988
660 ENSMUSP00000134561 Ddt Ddt ENSMUSP00000134561
661 ENSMUSP00000065987 Ddx1 Ddx1 ENSMUSP00000065987
662 ENSMUSP00000155307 Ddx17 Ddx17 ENSMUSP00000155307
663 ENSMUSP00000047898 Ddx19a Ddx19a ENSMUSP00000047898
664 ENSMUSP00000042691 Ddx21 Ddx21 ENSMUSP00000042691
665 ENSMUSP00000134178 Ddx39b Ddx39b ENSMUSP00000134178
666 ENSMUSP00000000804 Ddx3x Ddx3x ENSMUSP00000000804
667 ENSMUSP00000088729 Ddx3y Ddx3y ENSMUSP00000088729
668 ENSMUSP00000021046 Ddx42 Ddx42 ENSMUSP00000021046
669 ENSMUSP00000097078 Ddx46 Ddx46 ENSMUSP00000097078
670 ENSMUSP00000021062 Ddx5 Ddx5 ENSMUSP00000021062
671 ENSMUSP00000115052 Ddx58 Ddx58 ENSMUSP00000115052
672 ENSMUSP00000149620 Ddx6 Ddx6 ENSMUSP00000149620
673 ENSMUSP00000029877 Decr1 Decr1 ENSMUSP00000029877
674 ENSMUSP00000158287 Decr2 Decr2 ENSMUSP00000158287
675 ENSMUSP00000021807 Dek Dek ENSMUSP00000021807
676 ENSMUSP00000023869 Denr Denr ENSMUSP00000023869
677 ENSMUSP00000023056 Deptor Deptor ENSMUSP00000023056
678 ENSMUSP00000144935 Dera Dera ENSMUSP00000144935
679 ENSMUSP00000127568 Derl2 Derl2 ENSMUSP00000127568
680 ENSMUSP00000027409 Des Des ENSMUSP00000027409
681 ENSMUSP00000023214 Dgat1 Dgat1 ENSMUSP00000023214
682 ENSMUSP00000129876 Dglucy Dglucy ENSMUSP00000129876
683 ENSMUSP00000038063 Dhcr24 Dhcr24 ENSMUSP00000038063
684 ENSMUSP00000121782 Dhcr7 Dhcr7 ENSMUSP00000121782
685 ENSMUSP00000011526 Dhdh Dhdh ENSMUSP00000011526
686 ENSMUSP00000022218 Dhfr Dhfr ENSMUSP00000022218
687 ENSMUSP00000002403 Dhrs1 Dhrs1 ENSMUSP00000002403
688 ENSMUSP00000043467 Dhrs11 Dhrs11 ENSMUSP00000043467
689 ENSMUSP00000022821 Dhrs4 Dhrs4 ENSMUSP00000022821
690 ENSMUSP00000021512 Dhrs7 Dhrs7 ENSMUSP00000021512
691 ENSMUSP00000104358 Dhrs7b Dhrs7b ENSMUSP00000104358
692 ENSMUSP00000092769 Dhtkd1 Dhtkd1 ENSMUSP00000092769
693 ENSMUSP00000143381 Dhx15 Dhx15 ENSMUSP00000143381
694 ENSMUSP00000038135 Dhx9 Dhx9 ENSMUSP00000038135
695 ENSMUSP00000115045 Diablo Diablo ENSMUSP00000115045
696 ENSMUSP00000111297 Diaph1 Diaph1 ENSMUSP00000111297
697 ENSMUSP00000033776 Dkc1 Dkc1 ENSMUSP00000033776
698 ENSMUSP00000034567 Dlat Dlat ENSMUSP00000034567
699 ENSMUSP00000106481 Dld Dld ENSMUSP00000106481
700 ENSMUSP00000110850 Dlg1 Dlg1 ENSMUSP00000110850
701 ENSMUSP00000152664 Dlst Dlst ENSMUSP00000152664
702 ENSMUSP00000030103 Dmac1 Dmac1 ENSMUSP00000030103
703 ENSMUSP00000109633 Dmd Dmd ENSMUSP00000109633
704 ENSMUSP00000039663 Dmgdh Dmgdh ENSMUSP00000039663
705 ENSMUSP00000140430 Dnah7c Dnah7c ENSMUSP00000140430
706 ENSMUSP00000129730 Dnaja1 Dnaja1 ENSMUSP00000129730
707 ENSMUSP00000034138 Dnaja2 Dnaja2 ENSMUSP00000034138
708 ENSMUSP00000053842 Dnaja3 Dnaja3 ENSMUSP00000053842
709 ENSMUSP00000112520 Dnaja4 Dnaja4 ENSMUSP00000112520
710 ENSMUSP00000137542 Dnajb11 Dnajb11 ENSMUSP00000137542
711 ENSMUSP00000122056 Dnajb12 Dnajb12 ENSMUSP00000122056
712 ENSMUSP00000114356 Dnajb4 Dnajb4 ENSMUSP00000114356
713 ENSMUSP00000051643 Dnajc11 Dnajc11 ENSMUSP00000051643
714 ENSMUSP00000113514 Dnajc19 Dnajc19 ENSMUSP00000113514
715 ENSMUSP00000118048 Dnajc25 Dnajc25 ENSMUSP00000118048
716 ENSMUSP00000022734 Dnajc3 Dnajc3 ENSMUSP00000022734
717 ENSMUSP00000092242 Dnajc8 Dnajc8 ENSMUSP00000092242
718 ENSMUSP00000155155 Dnm1l Dnm1l ENSMUSP00000155155
719 ENSMUSP00000134696 Dnm2 Dnm2 ENSMUSP00000134696
720 ENSMUSP00000139739 Dnpep Dnpep ENSMUSP00000139739
721 ENSMUSP00000025851 Dpp3 Dpp3 ENSMUSP00000025851
722 ENSMUSP00000044050 Dpp4 Dpp4 ENSMUSP00000044050
723 ENSMUSP00000028332 Dpp7 Dpp7 ENSMUSP00000028332
724 ENSMUSP00000156830 Dpy30 Dpy30 ENSMUSP00000156830
725 ENSMUSP00000039429 Dpyd Dpyd ENSMUSP00000039429
726 ENSMUSP00000105935 Dpys Dpys ENSMUSP00000105935
727 ENSMUSP00000022629 Dpysl2 Dpysl2 ENSMUSP00000022629
728 ENSMUSP00000031190 Dr1 Dr1 ENSMUSP00000031190
729 ENSMUSP00000020741 Drg1 Drg1 ENSMUSP00000020741
730 ENSMUSP00000057096 Dsg2 Dsg2 ENSMUSP00000057096
731 ENSMUSP00000115062 Dsp Dsp ENSMUSP00000115062
732 ENSMUSP00000099461 Dstn Dstn ENSMUSP00000099461
733 ENSMUSP00000028917 Dtd1 Dtd1 ENSMUSP00000028917
734 ENSMUSP00000021339 Dtd2 Dtd2 ENSMUSP00000021339
735 ENSMUSP00000080601 Dtx3l Dtx3l ENSMUSP00000080601
736 ENSMUSP00000135384 Dusp3 Dusp3 ENSMUSP00000135384
737 ENSMUSP00000018851 Dync1h1 Dync1h1 ENSMUSP00000018851
738 ENSMUSP00000107767 Dync1i2 Dync1i2 ENSMUSP00000107767
739 ENSMUSP00000035366 Dync1li1 Dync1li1 ENSMUSP00000035366
740 ENSMUSP00000119655 Dynll2 Dynll2 ENSMUSP00000119655
741 ENSMUSP00000105304 Dynlrb1 Dynlrb1 ENSMUSP00000105304
742 ENSMUSP00000033509 Ebp Ebp ENSMUSP00000033509
743 ENSMUSP00000066092 Ech1 Ech1 ENSMUSP00000066092
744 ENSMUSP00000125553 Echdc1 Echdc1 ENSMUSP00000125553
745 ENSMUSP00000037371 Echdc3 Echdc3 ENSMUSP00000037371
746 ENSMUSP00000026538 Echs1 Echs1 ENSMUSP00000026538
747 ENSMUSP00000157291 Eci1 Eci1 ENSMUSP00000157291
748 ENSMUSP00000137411 Eci2 Eci2 ENSMUSP00000137411
749 ENSMUSP00000099953 Ecpas Ecpas ENSMUSP00000099953
750 ENSMUSP00000015236 Edf1 Edf1 ENSMUSP00000015236
